Layer,Neuron,Weights,Bias
Input,0,-0.211234,0.680375
Hidden,0,0.597790,0.566715
Hidden,1,-0.599134,0.825508
Hidden,2,0.537496,-0.329056
Hidden,3,0.160918,-0.438190
Hidden,4,0.259178,-0.045132
Hidden,5,0.043437,-0.287758
Hidden,6,0.832857,0.904908
Hidden,7,0.432935,0.270996
Hidden,8,0.232544,-0.713934
Hidden,9,-0.521211,-0.970999
Hidden,0,0.608643,-0.725255
Hidden,1,0.269407,-0.415539
Hidden,2,-0.294667,-0.433976
Hidden,3,-0.868685,-0.300192
Hidden,4,0.521314,-0.247383
Hidden,5,0.281465,0.477494
Hidden,6,0.371924,-0.301120
Hidden,7,-0.037996,0.818387
Hidden,8,-0.385638,0.572007
Hidden,9,-0.007413,-0.744085
Hidden,0,-0.510346,0.165074
Hidden,1,-0.643142,0.045060
Hidden,2,-0.853873,0.042828
Hidden,3,0.772343,-0.588466
Hidden,4,-0.209708,-0.674990
Hidden,5,-0.393992,0.518592
Hidden,6,0.661969,0.747056
Hidden,7,0.298739,-0.845054
Hidden,8,0.303502,-0.552398
Hidden,9,-0.331077,-0.099889
Hidden,0,-0.388577,-0.037642
Hidden,1,0.218619,-0.630030
Hidden,2,-0.821408,0.066976
Hidden,3,0.538104,-0.419633
Hidden,4,0.837553,0.917841
Hidden,5,0.592390,-0.594592
Hidden,6,0.001579,0.725718
Hidden,7,0.666805,-0.016529
Hidden,8,0.237863,0.822744
Hidden,9,-0.796243,-0.849507
Hidden,0,0.524047,0.314384
Hidden,1,-0.511537,-0.210999
Hidden,2,0.548941,0.567254
Hidden,3,0.725032,-0.062074
Hidden,4,0.559575,-0.087494
Hidden,5,-0.047446,0.776046
Hidden,6,-0.660772,0.847029
Hidden,7,-0.485930,-0.929154
Hidden,8,0.442565,0.570696
Hidden,9,-0.239068,-0.971384
Hidden,0,-0.381665,0.394218
Hidden,1,0.614534,0.440838
Hidden,2,-0.991110,-0.999057
Hidden,3,0.771519,-0.377004
Hidden,4,0.092937,0.735814
Hidden,5,0.626600,0.598093
Hidden,6,0.592011,0.554728
Hidden,7,0.206918,0.231425
Hidden,8,-0.024591,-0.778875
Hidden,9,-0.973493,-0.188497
Hidden,0,0.192545,0.277864
Hidden,1,0.796713,0.893876
Hidden,2,-0.081356,-0.624661
Hidden,3,0.243554,0.111353
Hidden,4,-0.598060,-0.240444
Hidden,5,-0.991118,-0.328726
Hidden,6,0.932677,0.281565
Hidden,7,0.729195,-0.756473
Hidden,8,-0.537380,-0.725203
Hidden,9,-0.212227,-0.862435
Hidden,0,0.519980,0.641928
Hidden,1,-0.295078,0.321461
Hidden,2,-0.647912,0.586478
Hidden,3,-0.828904,0.964057
Hidden,4,0.167829,0.060691
Hidden,5,-0.205073,0.037578
Hidden,6,0.409464,-0.429498
Hidden,7,-0.877627,-0.513659
Hidden,8,-0.950631,-0.910699
Hidden,9,0.843323,-0.034303
Hidden,0,0.712820,0.232367
Hidden,1,-0.399507,-0.724248
Hidden,2,0.775120,1.105654
Hidden,3,-0.482245,0.096019
Hidden,4,-0.759481,0.536259
Hidden,5,-0.685862,0.368693
Hidden,6,-0.861369,-0.274819
Hidden,7,0.707025,-0.054691
Hidden,8,0.603712,0.597854
Hidden,9,-0.844083,-0.003201
Hidden,0,-1.444598,0.036770
Hidden,1,-1.628427,-0.134087
Hidden,2,-1.528011,-0.106387
Hidden,3,-0.845422,-1.111805
Hidden,4,-1.036507,-1.097849
Hidden,5,-0.877381,-0.595637
Hidden,6,-1.266315,0.151114
Hidden,7,0.028572,-1.794224
Hidden,8,0.836613,1.336745
Hidden,9,-0.121614,-0.339447
Output,10-0,0.108081,0.144750,0.153243,0.120449,0.032534,-0.070166,0.197919,0.044856,2.628081,0.184357,4.040396
