1;0.224973
2;2.319593
3;79.326972
4;10.023314
5;5.901601
6;1.879058
7;1.962154
8;1.479429
9;0.710377
10;0.184850
11;36.875868
12;0.315112
13;22.572511
14;0.533702
15;0.481676
16;0.573514
17;0.033976
18;1.372840
19;0.452381
20;0.000911
21;0.690213
22;26.776572
23;16.840265
24;1.068094
25;4.266135
26;20.966382
27;0.259923
28;4.280565
29;0.968121
30;43.009726
31;0.240284
32;0.190602
33;0.618524
34;44.047563
35;2.228991
36;1.899160
37;0.366150
38;2.924776
39;1.563679
40;1.738730
41;0.085093
42;1.293019
43;0.534567
44;0.000509
45;0.268260
46;16.918399
47;0.033576
48;0.220037
49;2.068384
50;1.638952
51;0.571652
52;1.401323
53;1.673376
54;3.552125
55;3.420333
56;0.740511
57;0.567000
58;6.043685
59;1.740816
60;1425.832663
61;9.102612
62;0.060874
63;0.062206
64;6.972171
65;1.736683
66;24.831517
67;4.680286
68;0.392389
69;0.002108
70;73.175742
71;4.081723
72;0.004808
73;2.377642
74;10.254045
75;17.438613
76;0.072392
77;0.049256
78;0.295317
79;1.793309
80;2.485307
81;116.600055
82;2.550460
83;887.466782
84;1.835554
85;7.672500
86;10.932831
87;1.262311
88;0.245237
89;4.846427
90;2.993152
91;0.455468
92;0.005382
93;0.227756
94;0.494084
95;2.507907
96;1.268019
97;0.076917
98;1.010327
99;5.230624
100;0.516265
