Layer, Neuron, Weights, Bias
Input, 0, -0.211234, 0.680375
Hidden, 0 - 0, 10.342688, 1.068149
Hidden, 0 - 1, -0.894290, 0.908726
Hidden, 1 - 0, 7.420923, -7.625436, -2.669262
Hidden, 1 - 1, 2.682937, -6.613081, -3.521102
Output, 0,  1.333296, 3.070192,-0.002162
