Layer, Neuron, Weights, Bias
Input, 0, -0.211234, 0.680375
Hidden, 0 - 0, 1.424975, -0.007592
Hidden, 0 - 1, -0.753109, 0.794569
Hidden, 0 - 2, 2.001236, -0.692237
Hidden, 0 - 3, 0.225802, -0.432697
Hidden, 0 - 4, 1.017516, -0.238741
Hidden, 1 - 0, 0.126762, 0.438433, 1.148367, 0.196521, 0.474107, -0.676039
Hidden, 1 - 1, 0.079185, -0.829344, -0.726366, -0.743834, 0.526177, -0.654321
Hidden, 1 - 2, -0.251702, -0.478167, -0.963411, 1.047856, -0.579459, -0.444515
Hidden, 1 - 3, 0.789575, -0.032319, -0.179826, 0.263941, 0.113313, -0.151764
Hidden, 1 - 4, 1.322617, -1.289173, 1.379100, -0.013938, 0.785822, -0.672320
Output, 0,  0.800562, -0.607935, -0.920617, 0.217232, 1.977161,-1.186930
